created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Mar 11 23:59:35 +0000 2023;1634705660733706240;"Konser Blackpink Hari Pertama: Maskot Krunk Muncul, Penampilan Enerjik para Member, hingga Kemacetan https://t.co/NMH7M0WfZy";0;1;1;4;in;71436318;1634705660733706240;KompasTV;https://twitter.com/KompasTV/status/1634705660733706240
Sat Mar 11 23:59:31 +0000 2023;1634705645005049856;"@an_infj Mjb  Setelah pengalaman blackpink ini gue ngerasa ime juga jelek banget.  Dr nyediain booth makanan dan toilet yang dikit, mushola cuma sebijiikk, sampe layar yg kicik banget. Next time kalo ime yg bawa mikir2 lagi dah kalo mau beli.";0;1;0;0;in;84748036;1634702292682428416;kartykadewi;https://twitter.com/kartykadewi/status/1634705645005049856
Sat Mar 11 23:59:24 +0000 2023;1634705612931227649;"Konser Blackpink semalem pake live band ya? Waaahh yeoksi YG! Pasti konser artisnya selalu pake live band! Dan band-nya itu terdengar khas! Hehehe";0;0;0;0;in;102844413;1634705612931227649;detii0730;https://twitter.com/detii0730/status/1634705612931227649
Sat Mar 11 23:59:14 +0000 2023;1634705572758192130;"LALISA GUNCANG JAKARTA #BLACKPINK_WORLDTOUR #BLACKPINKinJAKARTA #BORNPINKinJAKARTA https://t.co/O3LRfPKr1w";0;0;1;6;in;1092775890411352065;1634705572758192130;astrikelana_;https://twitter.com/astrikelana_/status/1634705572758192130
Sat Mar 11 23:59:03 +0000 2023;1634705528231432198;"nunggu fancam konser blackpink di GBK huhuuu semoga next konser bp aku bis nonton!";0;0;0;2;in;1946375071;1634705528231432198;NhiiaPrabandini;https://twitter.com/NhiiaPrabandini/status/1634705528231432198
Sat Mar 11 23:58:56 +0000 2023;1634705496568664065;"Isi tl konser blackpink semua";0;0;0;0;in;2968615730;1634705496568664065;wulanfauziahut;https://twitter.com/wulanfauziahut/status/1634705496568664065
Sat Mar 11 23:58:56 +0000 2023;1634705495394226179;"Mudah-mudahan sn gw ga double 😭 Udah cape war tiket eh masa pas konsernya mesti war kursi lagi 😭 #BLACKPINKinJKT #BLACKPINK_BORNPINK #BLACKPINK #BLACKPINK_WORLDTOUR";0;0;0;0;in;1268175483646013440;1634705495394226179;Huangyuck;https://twitter.com/Huangyuck/status/1634705495394226179
Sat Mar 11 23:58:46 +0000 2023;1634705456554995713;"Aku disini 🙌 yang WTB tiket konser blackpink bisa COD, DM aja 🙌  WTS WTB WTT https://t.co/iGlA6XdY2e";0;3;0;0;in;1455134718928691204;1634705456554995713;NavaRubyjane;https://twitter.com/NavaRubyjane/status/1634705456554995713
Sat Mar 11 23:57:53 +0000 2023;1634705233241866240;"@convomfs Gue lebih percaya BlackPink makan naspad daripada ginian, sorry";0;0;0;0;in;1634345079564541952;1634689498377506817;veepartdua;https://twitter.com/veepartdua/status/1634705233241866240
Sat Mar 11 23:56:47 +0000 2023;1634704956170338305;"Orang-orang pada nonton blackpink seru banget😢🤯";0;0;0;0;in;950151625561096192;1634704956170338305;virgigisss;https://twitter.com/virgigisss/status/1634704956170338305
