source,target,links
LisaBoi, Can I get 50 replies?\n\nCONGRATULATIONS LISA\nLALISA APMA SOTY\n#VoteLISAforSMA',1
Yaorii❤️‍🔥," LISA bags a total of 4 awards at APMA 2021! \xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 20\xe2\x80\xa6'",1
Yong Yong, @LISANATIONS_ Well deserved awards\xf0\x9f\x91\x8d\xe2\xad\x90\xf0\x9f\x92\x8b\n\nCongratulations Lisa\nLALISA APMA SOTY\n#VoteLISAforSMA \n\nAgain!!!\nCongrats LISA',1
ashi keith, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
Lili. Moon 2, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
SOWOO⁴ 🌿, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
Yong Yong, @LISANATIONS_ LALISA APMA SOTY\n\nCongratulations Lisa \n\n#LALISA  #LisaBlackPink #MONEY  #LISA',1
𝐧𝐚𝐧𝐚, LALISA by #LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! We are very proud of you Queen L. \xf0\x9f\x91\xb8\n\nCo\xe2\x80\xa6',1
*****L*****, Biggest Soloist our Lili\nCongratulations Lisa\n\nLALISA APMA SOTY\n#VoteLISAforSMA https,1
Yong Yong, @LISANATIONS_ CONGRATULATIONS LISA\n\nLALISA APMA SOTY \n#VoteLISAforSMA',1
𝐧𝐚𝐧𝐚, \xf0\x9f\x93\xa3 Asian Pop Music Awards 2021\n\n\xf0\x9f\x8f\x86 Song of the Year - LALISA by LISA\n\nCongratulations!\n\nLALISA APMA SOTY \n#VoteLISAforSMA ht\xe2\x80\xa6',1
Yong Yong, @LISANATIONS_ We are so proud of you our Lisa!!\xf0\x9f\x98\x8d\nCongratulations! Well deserved.\xf0\x9f\xa5\xb0\n\nLALISA APMA SOTY\n#VoteLISAforSMA',1
yaya💛💘," A big CONGRATULATIONS to LISA for winning 4 Awards at the APMA 2021! \xf0\x9f\xa4\xa9\xf0\x9f\xa5\xb3\n\n\xf0\x9f\x8f\x86 Song of the Year - ""LALISA"" \n\xf0\x9f\x8f\x86 Top 20 Albums of t\xe2\x80\xa6'",1
มัมหมีนุ้งLice❤️‍🔥Yangdi🤍⑪∞🍊🍉.., Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
Yong Yong, @LISANATIONS_ Wow !! \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d Beyond proud..\nCongratulations our global icon Lisa!\xf0\x9f\x98\x8d\n\nLALISA APMA SOTY\n#VoteLISAforSMA',1
☄︎ᵢlₑ, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
STAN BTS AND BLACKPINK 👑, Asian Pop Music Awards 2021 \n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nT\xe2\x80\xa6',1
LiLi 0️⃣3️⃣2️⃣7️⃣," LALISA by LISA has won ""SONG OF THE YEAR"" (Overseas) at the Asian Pop Music Awards 2021! \n\nCongratulations LISA\xf0\x9f\x91\x91 \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa5\xb3\xf0\x9f\x8e\x89\n@BL\xe2\x80\xa6'",1
ßG❄️, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
Tan_lili," #LISA won ""SONG OF THE YEAR"" with \'LALISA\' at the Asian Pop Music Awards 2021! \n\nCONGRATULATIONS LISA! \xf0\x9f\x91\x8f\nWE ARE SO PROUD\xe2\x80\xa6'",1
𝑴𝒂𝒇𝒆_𝒃𝒃𝒚𝒚❄, CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
Alba Santiago, Asian Pop Music Awards 2021 \n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nT\xe2\x80\xa6',1
Yaorii❤️‍🔥, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
LiLi 0️⃣3️⃣2️⃣7️⃣, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
JENCHULICHAENG ❣, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
ßG❄️, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
honey5L, Just imagining how wild and legendary Lisa\xe2\x80\x99s first stage performance of MONEY will be! \n\nCONGRATULATIONS LISA\nLALISA APMA SO\xe2\x80\xa6',1
Jichu :), Congratulations LISA \xf0\x9f\x92\x9b',1
𝐧𝐚𝐧𝐚, Congratulations Lisa! \n\nLALISA APMA SOTY \n#VoteLISAforSMA https,1
BTSBP," Lisa bagged 4 awards today, including Song Of The Year. I love when the kpop global IT girl continues globaling non stop!\xe2\x80\xa6'",1
cattwocat🐱, Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
Macarena|| ❄️❄️, \xf0\x9f\x8f\x86 | #LISA\xe2\x80\x99s \xe2\x80\x9cLALISA\xe2\x80\x9d has won SONG OF THE YEAR at the Asian Pop Music Awards 2021. \n\nCONGRATULATIONS LISA!\n#BLACKPINK #\xe2\x80\xa6',1
tinppeuchin, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LI\xe2\x80\xa6',1
BTSBP, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
fankota waiting for VIVIZ debut, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
lean || L-SG, CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
ลลิส( LISA🌬️ TL YOU🤔|-LS-|, \xe0\xb8\xaa\xe0\xb8\xa1\xe0\xb8\xa1\xe0\xb8\x87\xe0\xb8\x84\xe0\xb9\x88\xe0\xb8\xb0\nCONGRATULATIONS LISA\nLALISA APMA SOTY \n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20\xe2\x80\xa6',1
LYN❤️💗🖤6️⃣5️⃣🎹," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
❤️ilil❤️, \xf0\x9f\x93\xa3 Asian Pop Music Awards 2021\n\n\xf0\x9f\x8f\x86 Song of the Year - LALISA by LISA\n\nCongratulations!\n\nLALISA APMA SOTY \n#VoteLISAforSMA ht\xe2\x80\xa6',1
Sweetest exception, CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
Max___," LISA has won Artist award for Female Solo Artist TOP 3 at #HanteoMusicAwards! \n\nThank you Lilivoters for working hard, sh\xe2\x80\xa6'",1
JinchuLichaeng," LISA has won Artist award for Female Solo Artist TOP 3 at #HanteoMusicAwards! \n\nThank you Lilivoters for working hard, sh\xe2\x80\xa6'",1
Lili027, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
LokG, Just imagining how wild and legendary Lisa\xe2\x80\x99s first stage performance of MONEY will be! \n\nCONGRATULATIONS LISA\nLALISA APMA SO\xe2\x80\xa6',1
PHATCHA_2021, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
Nicolau ❤🔥Youngro, @LISANATIONS_ Congratulations Lisa \xf0\x9f\x8e\x89\xf0\x9f\x92\x9b\n\nYG RELEASE LISA ALBUM SALES\n#YGStopSabotagingLISA',1
Dana," [INFO] \xc2\xa1\'#LALISA\' de #LISA gan\xc3\xb3 ""Canci\xc3\xb3n del a\xc3\xb1o (en el extranjero)"" en los Asian Pop Music Awards 2021!\n\nCONGRATULATIONS L\xe2\x80\xa6'",1
ʏᴏsʜ, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
LiLi 0️⃣3️⃣2️⃣7️⃣, Just imagining how wild and legendary Lisa\xe2\x80\x99s first stage performance of MONEY will be! \n\nCONGRATULATIONS LISA\nLALISA APMA SO\xe2\x80\xa6',1
🌸♡Ｓν𝓐к 𝐕𝓘η𝓭⁰³²⁷♡🌸, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
